Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('minibatch Accuracy (i, batch number)', 19, 250, [0.99514544, 0.027716016])
('minibatch Accuracy (i, batch number)', 19, 300, [0.99505454, 0.027743036])
('minibatch Accuracy (i, batch number)', 19, 350, [0.995, 0.026748614])
('minibatch Accuracy (i, batch number)', 19, 400, [0.9943454, 0.027841099])
('minibatch Accuracy (i, batch number)', 19, 450, [0.9951818, 0.02583194])
('minibatch Accuracy (i, batch number)', 19, 500, [0.99576366, 0.024167469])
('minibatch Accuracy (i, batch number)', 19, 550, [0.99407274, 0.028322956])
('minibatch Accuracy (i, batch number)', 19, 600, [0.99523634, 0.02479939])
('minibatch Accuracy (i, batch number)', 19, 650, [0.99381816, 0.027529856])
('minibatch Accuracy (i, batch number)', 19, 700, [0.99414545, 0.025972448])
('minibatch Accuracy (i, batch number)', 19, 750, [0.9946182, 0.025458962])
('minibatch Accuracy (i, batch number)', 19, 800, [0.9956545, 0.022787478])
('minibatch Accuracy (i, batch number)', 19, 850, [0.99578184, 0.022444705])
('Accuracy', 19, 'Test', array([0.9544]), 'Train', array([0.99565452]))
('minibatch Accuracy (i, batch number)', 20, 50, [0.99605453, 0.02163213])
('minibatch Accuracy (i, batch number)', 20, 100, [0.99683636, 0.019921085])
('minibatch Accuracy (i, batch number)', 20, 150, [0.99685454, 0.020088015])
('minibatch Accuracy (i, batch number)', 20, 200, [0.99707276, 0.019794067])
('minibatch Accuracy (i, batch number)', 20, 250, [0.9945273, 0.024118727])
('minibatch Accuracy (i, batch number)', 20, 300, [0.9968, 0.019314218])
('minibatch Accuracy (i, batch number)', 20, 350, [0.9962, 0.020205703])
('minibatch Accuracy (i, batch number)', 20, 400, [0.9966364, 0.018784067])
('minibatch Accuracy (i, batch number)', 20, 450, [0.9956909, 0.020889001])
('minibatch Accuracy (i, batch number)', 20, 500, [0.9964909, 0.018978152])
('minibatch Accuracy (i, batch number)', 20, 550, [0.99634546, 0.01935605])
('minibatch Accuracy (i, batch number)', 20, 600, [0.9967273, 0.018495155])
('minibatch Accuracy (i, batch number)', 20, 650, [0.9963273, 0.019081296])
('minibatch Accuracy (i, batch number)', 20, 700, [0.9954182, 0.021429146])
('minibatch Accuracy (i, batch number)', 20, 750, [0.9960182, 0.019481689])
('minibatch Accuracy (i, batch number)', 20, 800, [0.9962909, 0.018522812])
('minibatch Accuracy (i, batch number)', 20, 850, [0.9962364, 0.018320832])
('Accuracy', 20, 'Test', array([0.95389998]), 'Train', array([0.99699998]))
('minibatch Accuracy (i, batch number)', 21, 50, [0.9975455, 0.015606781])
('minibatch Accuracy (i, batch number)', 21, 100, [0.9976909, 0.01450419])
('minibatch Accuracy (i, batch number)', 21, 150, [0.99727273, 0.015681893])
('minibatch Accuracy (i, batch number)', 21, 200, [0.998, 0.013649608])
('minibatch Accuracy (i, batch number)', 21, 250, [0.9976909, 0.01460684])
('minibatch Accuracy (i, batch number)', 21, 300, [0.9981091, 0.013366304])
('minibatch Accuracy (i, batch number)', 21, 350, [0.9975455, 0.014146412])
('minibatch Accuracy (i, batch number)', 21, 400, [0.99798185, 0.012788916])
('minibatch Accuracy (i, batch number)', 21, 450, [0.99709094, 0.015486974])
('minibatch Accuracy (i, batch number)', 21, 500, [0.9959273, 0.017447967])
('minibatch Accuracy (i, batch number)', 21, 550, [0.9965636, 0.015944077])
('minibatch Accuracy (i, batch number)', 21, 600, [0.9978727, 0.012769381])
('minibatch Accuracy (i, batch number)', 21, 650, [0.9977818, 0.012894245])
('minibatch Accuracy (i, batch number)', 21, 700, [0.9964, 0.016634451])
('minibatch Accuracy (i, batch number)', 21, 750, [0.9964182, 0.016288124])
('minibatch Accuracy (i, batch number)', 21, 800, [0.9982, 0.012071895])
('minibatch Accuracy (i, batch number)', 21, 850, [0.99667275, 0.015470631])
('Accuracy', 21, 'Test', array([0.95380002]), 'Train', array([0.99779999]))
('minibatch Accuracy (i, batch number)', 22, 50, [0.9982909, 0.011354437])
('minibatch Accuracy (i, batch number)', 22, 100, [0.9983636, 0.010466319])
('minibatch Accuracy (i, batch number)', 22, 150, [0.99825454, 0.011041026])
('minibatch Accuracy (i, batch number)', 22, 200, [0.998, 0.0116055645])
('minibatch Accuracy (i, batch number)', 22, 250, [0.99776363, 0.01255422])
('minibatch Accuracy (i, batch number)', 22, 300, [0.9983818, 0.010320387])
('minibatch Accuracy (i, batch number)', 22, 350, [0.9985818, 0.009411919])
('minibatch Accuracy (i, batch number)', 22, 400, [0.99798185, 0.010612546])
('minibatch Accuracy (i, batch number)', 22, 450, [0.9973636, 0.012635992])
('minibatch Accuracy (i, batch number)', 22, 500, [0.9973636, 0.012017318])
('minibatch Accuracy (i, batch number)', 22, 550, [0.9985273, 0.009500319])
('minibatch Accuracy (i, batch number)', 22, 600, [0.9976909, 0.01194302])
('minibatch Accuracy (i, batch number)', 22, 650, [0.99832726, 0.010226109])
('minibatch Accuracy (i, batch number)', 22, 700, [0.9984546, 0.009895152])
('minibatch Accuracy (i, batch number)', 22, 750, [0.9981818, 0.009993191])
('minibatch Accuracy (i, batch number)', 22, 800, [0.9987818, 0.008552404])
('minibatch Accuracy (i, batch number)', 22, 850, [0.99716365, 0.012519921])
('Accuracy', 22, 'Test', array([0.95480001]), 'Train', array([0.99587274]))
('minibatch Accuracy (i, batch number)', 23, 50, [0.9972909, 0.013114441])
('minibatch Accuracy (i, batch number)', 23, 100, [0.9979636, 0.01086208])
('minibatch Accuracy (i, batch number)', 23, 150, [0.9983636, 0.0083421385])
('minibatch Accuracy (i, batch number)', 23, 200, [0.99825454, 0.009333037])
('minibatch Accuracy (i, batch number)', 23, 250, [0.9976182, 0.011348573])
('minibatch Accuracy (i, batch number)', 23, 300, [0.99865454, 0.008175387])
('minibatch Accuracy (i, batch number)', 23, 350, [0.998, 0.0106593035])
('minibatch Accuracy (i, batch number)', 23, 400, [0.99785453, 0.010293667])
('minibatch Accuracy (i, batch number)', 23, 450, [0.99703634, 0.012653758])
('minibatch Accuracy (i, batch number)', 23, 500, [0.9977818, 0.010428961])
('minibatch Accuracy (i, batch number)', 23, 550, [0.99790907, 0.0097504705])
('minibatch Accuracy (i, batch number)', 23, 600, [0.9978, 0.010767426])
('minibatch Accuracy (i, batch number)', 23, 650, [0.9984, 0.008833143])
('minibatch Accuracy (i, batch number)', 23, 700, [0.9913091, 0.03293827])
('minibatch Accuracy (i, batch number)', 23, 750, [0.9971273, 0.011789734])
('minibatch Accuracy (i, batch number)', 23, 800, [0.9984364, 0.008090247])
('minibatch Accuracy (i, batch number)', 23, 850, [0.9981091, 0.008593377])
('Accuracy', 23, 'Test', array([0.95429999]), 'Train', array([0.99792725]))
('minibatch Accuracy (i, batch number)', 24, 50, [0.9980182, 0.009369325])
('minibatch Accuracy (i, batch number)', 24, 100, [0.9975455, 0.011133284])
('minibatch Accuracy (i, batch number)', 24, 150, [0.9981273, 0.0091525605])
('minibatch Accuracy (i, batch number)', 24, 200, [0.9986909, 0.007516266])
('minibatch Accuracy (i, batch number)', 24, 250, [0.9989455, 0.007011277])
('minibatch Accuracy (i, batch number)', 24, 300, [0.9982182, 0.008205615])
('minibatch Accuracy (i, batch number)', 24, 350, [0.99783635, 0.008847145])
('minibatch Accuracy (i, batch number)', 24, 400, [0.99832726, 0.0077113807])
('minibatch Accuracy (i, batch number)', 24, 450, [0.9971273, 0.011493373])
('minibatch Accuracy (i, batch number)', 24, 500, [0.99834543, 0.007915067])
('minibatch Accuracy (i, batch number)', 24, 550, [0.9984909, 0.007579889])
('minibatch Accuracy (i, batch number)', 24, 600, [0.99718183, 0.010740868])
('minibatch Accuracy (i, batch number)', 24, 650, [0.99872726, 0.0070170397])
('minibatch Accuracy (i, batch number)', 24, 700, [0.99776363, 0.009328746])
('minibatch Accuracy (i, batch number)', 24, 750, [0.9973818, 0.010159122])
('minibatch Accuracy (i, batch number)', 24, 800, [0.99854547, 0.007322067])
('minibatch Accuracy (i, batch number)', 24, 850, [0.99874544, 0.0071756793])
('Accuracy', 24, 'Test', array([0.9551]), 'Train', array([0.99687272]))
