Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('Details', 'mnist_uni_noise_kappa_4_adv.csv', 'MNIST Grad -- New Framework', 100, 64, 25)
('minibatch Accuracy (i, batch number)', 3, 600, [0.33123636, 0.43048048, 0.62313193])
('minibatch Accuracy (i, batch number)', 3, 650, [0.34194547, 0.42160362, 0.6238551])
('minibatch Accuracy (i, batch number)', 3, 700, [0.35116363, 0.41816956, 0.6248181])
('minibatch Accuracy (i, batch number)', 3, 750, [0.35656363, 0.42217848, 0.62105703])
('minibatch Accuracy (i, batch number)', 3, 800, [0.34934545, 0.4075264, 0.625367])
('minibatch Accuracy (i, batch number)', 3, 850, [0.3508, 0.4037988, 0.62310416])
('Accuracy', 3, 'Test', array([0.37729999]), 'Train', array([0.36412728]))
('minibatch Accuracy (i, batch number)', 4, 50, [0.36085454, 0.40443218, 0.62470984])
('minibatch Accuracy (i, batch number)', 4, 100, [0.3513818, 0.39950553, 0.6239805])
('minibatch Accuracy (i, batch number)', 4, 150, [0.36327273, 0.39089262, 0.6211424])
('minibatch Accuracy (i, batch number)', 4, 200, [0.35716364, 0.39008605, 0.6232212])
('minibatch Accuracy (i, batch number)', 4, 250, [0.35165456, 0.3968021, 0.62616754])
('minibatch Accuracy (i, batch number)', 4, 300, [0.36736363, 0.380662, 0.6246787])
('minibatch Accuracy (i, batch number)', 4, 350, [0.3614909, 0.3789708, 0.62467754])
('minibatch Accuracy (i, batch number)', 4, 400, [0.3551091, 0.3920395, 0.6235654])
('minibatch Accuracy (i, batch number)', 4, 450, [0.35476363, 0.3823737, 0.62495744])
('minibatch Accuracy (i, batch number)', 4, 500, [0.36774546, 0.37237272, 0.62581015])
('minibatch Accuracy (i, batch number)', 4, 550, [0.35243636, 0.36733317, 0.623013])
('minibatch Accuracy (i, batch number)', 4, 600, [0.36618182, 0.35927653, 0.6229462])
('minibatch Accuracy (i, batch number)', 4, 650, [0.3765091, 0.3612994, 0.6194053])
('minibatch Accuracy (i, batch number)', 4, 700, [0.36374545, 0.3567388, 0.6234163])
('minibatch Accuracy (i, batch number)', 4, 750, [0.3722909, 0.34986708, 0.62229854])
('minibatch Accuracy (i, batch number)', 4, 800, [0.36696362, 0.34964052, 0.6228312])
('minibatch Accuracy (i, batch number)', 4, 850, [0.38201818, 0.35639393, 0.62259185])
('Accuracy', 4, 'Test', array([0.40169999]), 'Train', array([0.38732728]))
('minibatch Accuracy (i, batch number)', 5, 50, [0.36492726, 0.35706273, 0.6259364])
('minibatch Accuracy (i, batch number)', 5, 100, [0.38023636, 0.3389258, 0.62207156])
('minibatch Accuracy (i, batch number)', 5, 150, [0.37754545, 0.3529499, 0.6227659])
('minibatch Accuracy (i, batch number)', 5, 200, [0.3574909, 0.36075354, 0.6263956])
('minibatch Accuracy (i, batch number)', 5, 250, [0.36343637, 0.33240026, 0.62838715])
('minibatch Accuracy (i, batch number)', 5, 300, [0.37567273, 0.33360356, 0.6244088])
('minibatch Accuracy (i, batch number)', 5, 350, [0.36892727, 0.34545195, 0.6254398])
('minibatch Accuracy (i, batch number)', 5, 400, [0.37867272, 0.34096456, 0.62180555])
('minibatch Accuracy (i, batch number)', 5, 450, [0.37996364, 0.32429674, 0.62622356])
('minibatch Accuracy (i, batch number)', 5, 500, [0.38365453, 0.32369208, 0.62620395])
('minibatch Accuracy (i, batch number)', 5, 550, [0.37943637, 0.32413235, 0.62566763])
('minibatch Accuracy (i, batch number)', 5, 600, [0.37892726, 0.31475803, 0.6255566])
('minibatch Accuracy (i, batch number)', 5, 650, [0.3486909, 0.34127176, 0.62526435])
('minibatch Accuracy (i, batch number)', 5, 700, [0.36725456, 0.32565734, 0.6224748])
('minibatch Accuracy (i, batch number)', 5, 750, [0.36432728, 0.31237122, 0.6270537])
('minibatch Accuracy (i, batch number)', 5, 800, [0.3777091, 0.3185345, 0.62179875])
('minibatch Accuracy (i, batch number)', 5, 850, [0.35341817, 0.32500842, 0.62794673])
('Accuracy', 5, 'Test', array([0.37970001]), 'Train', array([0.36636364]))
('minibatch Accuracy (i, batch number)', 6, 50, [0.3652182, 0.30274898, 0.6271269])
('minibatch Accuracy (i, batch number)', 6, 100, [0.38485456, 0.30962172, 0.6237911])
('minibatch Accuracy (i, batch number)', 6, 150, [0.36183637, 0.31383145, 0.62950206])
('minibatch Accuracy (i, batch number)', 6, 200, [0.36429092, 0.29993656, 0.6266295])
('minibatch Accuracy (i, batch number)', 6, 250, [0.36630908, 0.297521, 0.62622094])
('minibatch Accuracy (i, batch number)', 6, 300, [0.37501818, 0.30319235, 0.62618554])
('minibatch Accuracy (i, batch number)', 6, 350, [0.3659091, 0.30082697, 0.6268345])
('minibatch Accuracy (i, batch number)', 6, 400, [0.38043636, 0.31336385, 0.62661666])
('minibatch Accuracy (i, batch number)', 6, 450, [0.37907273, 0.29996854, 0.6282288])
('minibatch Accuracy (i, batch number)', 6, 500, [0.38681817, 0.3117279, 0.6282361])
('minibatch Accuracy (i, batch number)', 6, 550, [0.3706182, 0.27776644, 0.6292598])
('minibatch Accuracy (i, batch number)', 6, 600, [0.36663637, 0.292553, 0.62946886])
('minibatch Accuracy (i, batch number)', 6, 650, [0.36901817, 0.28357503, 0.62590677])
('minibatch Accuracy (i, batch number)', 6, 700, [0.3802, 0.29335922, 0.6319858])
('minibatch Accuracy (i, batch number)', 6, 750, [0.3838, 0.2730256, 0.62882507])
('minibatch Accuracy (i, batch number)', 6, 800, [0.36696362, 0.26988414, 0.62764645])
('minibatch Accuracy (i, batch number)', 6, 850, [0.38325456, 0.2686107, 0.62586194])
('Accuracy', 6, 'Test', array([0.4034]), 'Train', array([0.38834545]))
('minibatch Accuracy (i, batch number)', 7, 50, [0.37172726, 0.27694649, 0.6310115])
('minibatch Accuracy (i, batch number)', 7, 100, [0.3932909, 0.27245173, 0.62593377])
('minibatch Accuracy (i, batch number)', 7, 150, [0.37794545, 0.2662337, 0.6238471])
('minibatch Accuracy (i, batch number)', 7, 200, [0.37367272, 0.25893393, 0.62726414])
('minibatch Accuracy (i, batch number)', 7, 250, [0.37036362, 0.26835984, 0.63186336])
('minibatch Accuracy (i, batch number)', 7, 300, [0.37649092, 0.25769573, 0.6301193])
('minibatch Accuracy (i, batch number)', 7, 350, [0.37496364, 0.2617478, 0.6300738])
('minibatch Accuracy (i, batch number)', 7, 400, [0.37107274, 0.25699487, 0.6297987])
('minibatch Accuracy (i, batch number)', 7, 450, [0.37492728, 0.27428597, 0.6347789])
('minibatch Accuracy (i, batch number)', 7, 500, [0.38058183, 0.26156345, 0.63279116])
('minibatch Accuracy (i, batch number)', 7, 550, [0.37672728, 0.2589875, 0.6331137])
('minibatch Accuracy (i, batch number)', 7, 600, [0.37467274, 0.26726687, 0.6307066])
('minibatch Accuracy (i, batch number)', 7, 650, [0.36063635, 0.24907815, 0.6335054])
('minibatch Accuracy (i, batch number)', 7, 700, [0.38243636, 0.24779387, 0.63330257])
('minibatch Accuracy (i, batch number)', 7, 750, [0.38654545, 0.2665945, 0.629758])
('minibatch Accuracy (i, batch number)', 7, 800, [0.3795091, 0.23967728, 0.631462])
