Extracting ../MNIST_data/train-images-idx3-ubyte.gz
Extracting ../MNIST_data/train-labels-idx1-ubyte.gz
Extracting ../MNIST_data/t10k-images-idx3-ubyte.gz
Extracting ../MNIST_data/t10k-labels-idx1-ubyte.gz
('Train', (55000, 784), 'Test', (10000, 784))
('minibatch Accuracy (i, batch number)', 9, 600, [0.9509091, 0.16348721])
('minibatch Accuracy (i, batch number)', 9, 650, [0.95054543, 0.16399531])
('minibatch Accuracy (i, batch number)', 9, 700, [0.9508909, 0.16260421])
('minibatch Accuracy (i, batch number)', 9, 750, [0.9512909, 0.16169888])
('minibatch Accuracy (i, batch number)', 9, 800, [0.9515455, 0.16018008])
('minibatch Accuracy (i, batch number)', 9, 850, [0.9516, 0.1596396])
('Accuracy', 9, 'Test', array([0.94440001]), 'Train', array([0.95132726]))
('minibatch Accuracy (i, batch number)', 10, 50, [0.9519455, 0.15960933])
('minibatch Accuracy (i, batch number)', 10, 100, [0.9527818, 0.15755564])
('minibatch Accuracy (i, batch number)', 10, 150, [0.952, 0.15903062])
('minibatch Accuracy (i, batch number)', 10, 200, [0.9521273, 0.15824448])
('minibatch Accuracy (i, batch number)', 10, 250, [0.9532545, 0.15653124])
('minibatch Accuracy (i, batch number)', 10, 300, [0.95305455, 0.15607238])
('minibatch Accuracy (i, batch number)', 10, 350, [0.9534364, 0.15458359])
('minibatch Accuracy (i, batch number)', 10, 400, [0.9531818, 0.15396562])
('minibatch Accuracy (i, batch number)', 10, 450, [0.95336366, 0.15428658])
('minibatch Accuracy (i, batch number)', 10, 500, [0.9545818, 0.15235512])
('minibatch Accuracy (i, batch number)', 10, 550, [0.9547455, 0.15160492])
('minibatch Accuracy (i, batch number)', 10, 600, [0.9543818, 0.15144609])
('minibatch Accuracy (i, batch number)', 10, 650, [0.95503634, 0.14976409])
('minibatch Accuracy (i, batch number)', 10, 700, [0.95476365, 0.14998175])
('minibatch Accuracy (i, batch number)', 10, 750, [0.9552364, 0.1492348])
('minibatch Accuracy (i, batch number)', 10, 800, [0.9542364, 0.15056221])
('minibatch Accuracy (i, batch number)', 10, 850, [0.9551455, 0.14768577])
('Accuracy', 10, 'Test', array([0.94919997]), 'Train', array([0.95538181]))
('minibatch Accuracy (i, batch number)', 11, 50, [0.956, 0.14752139])
('minibatch Accuracy (i, batch number)', 11, 100, [0.9559636, 0.1471319])
('minibatch Accuracy (i, batch number)', 11, 150, [0.95632726, 0.1465011])
('minibatch Accuracy (i, batch number)', 11, 200, [0.9566, 0.14487427])
('minibatch Accuracy (i, batch number)', 11, 250, [0.9568909, 0.1445681])
('minibatch Accuracy (i, batch number)', 11, 300, [0.9566909, 0.14401624])
('minibatch Accuracy (i, batch number)', 11, 350, [0.95649093, 0.1437722])
('minibatch Accuracy (i, batch number)', 11, 400, [0.9567636, 0.14296485])
('minibatch Accuracy (i, batch number)', 11, 450, [0.9574182, 0.14206304])
('minibatch Accuracy (i, batch number)', 11, 500, [0.9580727, 0.14187343])
('minibatch Accuracy (i, batch number)', 11, 550, [0.95821816, 0.14037931])
('minibatch Accuracy (i, batch number)', 11, 600, [0.95812726, 0.1402])
('minibatch Accuracy (i, batch number)', 11, 650, [0.9580182, 0.14002302])
('minibatch Accuracy (i, batch number)', 11, 700, [0.9580909, 0.13970992])
('minibatch Accuracy (i, batch number)', 11, 750, [0.95927274, 0.13818519])
('minibatch Accuracy (i, batch number)', 11, 800, [0.95925456, 0.13747476])
('minibatch Accuracy (i, batch number)', 11, 850, [0.9590182, 0.13757266])
('Accuracy', 11, 'Test', array([0.95050001]), 'Train', array([0.95958179]))
('minibatch Accuracy (i, batch number)', 12, 50, [0.95983636, 0.13777633])
('minibatch Accuracy (i, batch number)', 12, 100, [0.9592182, 0.13659115])
('minibatch Accuracy (i, batch number)', 12, 150, [0.9598909, 0.1348572])
('minibatch Accuracy (i, batch number)', 12, 200, [0.95952725, 0.13534415])
('minibatch Accuracy (i, batch number)', 12, 250, [0.9598727, 0.13466147])
('minibatch Accuracy (i, batch number)', 12, 300, [0.9596182, 0.13394406])
('minibatch Accuracy (i, batch number)', 12, 350, [0.9602182, 0.13374843])
('minibatch Accuracy (i, batch number)', 12, 400, [0.9601091, 0.13277803])
('minibatch Accuracy (i, batch number)', 12, 450, [0.9599818, 0.13273439])
('minibatch Accuracy (i, batch number)', 12, 500, [0.95985454, 0.13329636])
('minibatch Accuracy (i, batch number)', 12, 550, [0.9603636, 0.13161422])
('minibatch Accuracy (i, batch number)', 12, 600, [0.9615818, 0.13041945])
('minibatch Accuracy (i, batch number)', 12, 650, [0.96156365, 0.12955719])
('minibatch Accuracy (i, batch number)', 12, 700, [0.962, 0.12833296])
('minibatch Accuracy (i, batch number)', 12, 750, [0.9616727, 0.12841251])
('minibatch Accuracy (i, batch number)', 12, 800, [0.96174544, 0.12827119])
('minibatch Accuracy (i, batch number)', 12, 850, [0.9607273, 0.13012436])
('Accuracy', 12, 'Test', array([0.95060003]), 'Train', array([0.96056366]))
('minibatch Accuracy (i, batch number)', 13, 50, [0.96163636, 0.12742461])
('minibatch Accuracy (i, batch number)', 13, 100, [0.9623273, 0.12721172])
('minibatch Accuracy (i, batch number)', 13, 150, [0.9622545, 0.12725395])
('minibatch Accuracy (i, batch number)', 13, 200, [0.9625818, 0.12635721])
('minibatch Accuracy (i, batch number)', 13, 250, [0.96254545, 0.12570482])
('minibatch Accuracy (i, batch number)', 13, 300, [0.96256363, 0.124718525])
('minibatch Accuracy (i, batch number)', 13, 350, [0.962, 0.12554021])
('minibatch Accuracy (i, batch number)', 13, 400, [0.9628, 0.12452015])
('minibatch Accuracy (i, batch number)', 13, 450, [0.96305454, 0.123559214])
('minibatch Accuracy (i, batch number)', 13, 500, [0.9629818, 0.1240397])
('minibatch Accuracy (i, batch number)', 13, 550, [0.9631818, 0.12263713])
('minibatch Accuracy (i, batch number)', 13, 600, [0.9636545, 0.12255308])
('minibatch Accuracy (i, batch number)', 13, 650, [0.96385455, 0.12116655])
('minibatch Accuracy (i, batch number)', 13, 700, [0.9625091, 0.12349294])
('minibatch Accuracy (i, batch number)', 13, 750, [0.9640909, 0.12081442])
('minibatch Accuracy (i, batch number)', 13, 800, [0.96436363, 0.11986594])
('minibatch Accuracy (i, batch number)', 13, 850, [0.9644909, 0.119172424])
('Accuracy', 13, 'Test', array([0.9544]), 'Train', array([0.96449089]))
('minibatch Accuracy (i, batch number)', 14, 50, [0.9634182, 0.120642364])
('minibatch Accuracy (i, batch number)', 14, 100, [0.96452725, 0.11832275])
('minibatch Accuracy (i, batch number)', 14, 150, [0.9646909, 0.118505284])
('minibatch Accuracy (i, batch number)', 14, 200, [0.9647091, 0.11773568])
('minibatch Accuracy (i, batch number)', 14, 250, [0.96514547, 0.11722718])
('minibatch Accuracy (i, batch number)', 14, 300, [0.96572727, 0.115836345])
('minibatch Accuracy (i, batch number)', 14, 350, [0.9658909, 0.11500446])
('minibatch Accuracy (i, batch number)', 14, 400, [0.96494544, 0.11676863])
('minibatch Accuracy (i, batch number)', 14, 450, [0.9654, 0.11515412])
('minibatch Accuracy (i, batch number)', 14, 500, [0.96549094, 0.114853784])
('minibatch Accuracy (i, batch number)', 14, 550, [0.96567273, 0.114932805])
('minibatch Accuracy (i, batch number)', 14, 600, [0.96572727, 0.11398347])
('minibatch Accuracy (i, batch number)', 14, 650, [0.9653636, 0.11453714])
('minibatch Accuracy (i, batch number)', 14, 700, [0.9660364, 0.11266168])
('minibatch Accuracy (i, batch number)', 14, 750, [0.9658545, 0.112938784])
('minibatch Accuracy (i, batch number)', 14, 800, [0.96632725, 0.111642525])
('minibatch Accuracy (i, batch number)', 14, 850, [0.96556365, 0.112944596])
('Accuracy', 14, 'Test', array([0.95639998]), 'Train', array([0.96541816]))
('minibatch Accuracy (i, batch number)', 15, 50, [0.96598184, 0.11133148])
('minibatch Accuracy (i, batch number)', 15, 100, [0.9658, 0.11151264])
('minibatch Accuracy (i, batch number)', 15, 150, [0.9664364, 0.1101148])
('minibatch Accuracy (i, batch number)', 15, 200, [0.9662909, 0.11020844])
('minibatch Accuracy (i, batch number)', 15, 250, [0.96687275, 0.10957187])
('minibatch Accuracy (i, batch number)', 15, 300, [0.96672726, 0.109673195])
('minibatch Accuracy (i, batch number)', 15, 350, [0.9668364, 0.11013754])
('minibatch Accuracy (i, batch number)', 15, 400, [0.96754545, 0.10901135])
('minibatch Accuracy (i, batch number)', 15, 450, [0.9678909, 0.10719116])
('minibatch Accuracy (i, batch number)', 15, 500, [0.96796364, 0.108194605])
('minibatch Accuracy (i, batch number)', 15, 550, [0.96827275, 0.10711201])
('minibatch Accuracy (i, batch number)', 15, 600, [0.9679818, 0.10632997])
('minibatch Accuracy (i, batch number)', 15, 650, [0.96763635, 0.10711064])
('minibatch Accuracy (i, batch number)', 15, 700, [0.9675636, 0.106753275])
('minibatch Accuracy (i, batch number)', 15, 750, [0.96778184, 0.106818944])
('minibatch Accuracy (i, batch number)', 15, 800, [0.9687091, 0.105149165])
('minibatch Accuracy (i, batch number)', 15, 850, [0.96803635, 0.105766])
('Accuracy', 15, 'Test', array([0.9569]), 'Train', array([0.96769089]))
('minibatch Accuracy (i, batch number)', 16, 50, [0.96903634, 0.103791945])
('minibatch Accuracy (i, batch number)', 16, 100, [0.96836364, 0.10531754])
('minibatch Accuracy (i, batch number)', 16, 150, [0.9687091, 0.10420142])
('minibatch Accuracy (i, batch number)', 16, 200, [0.9686, 0.10423291])
('minibatch Accuracy (i, batch number)', 16, 250, [0.96834546, 0.10449356])
('minibatch Accuracy (i, batch number)', 16, 300, [0.9691091, 0.10325242])
('minibatch Accuracy (i, batch number)', 16, 350, [0.96941817, 0.10227541])
('minibatch Accuracy (i, batch number)', 16, 400, [0.96974546, 0.10147097])
('minibatch Accuracy (i, batch number)', 16, 450, [0.96974546, 0.10101921])
('minibatch Accuracy (i, batch number)', 16, 500, [0.96925455, 0.10123178])
('minibatch Accuracy (i, batch number)', 16, 550, [0.9698, 0.09983358])
('minibatch Accuracy (i, batch number)', 16, 600, [0.9697818, 0.10007187])
('minibatch Accuracy (i, batch number)', 16, 650, [0.9698909, 0.10049716])
('minibatch Accuracy (i, batch number)', 16, 700, [0.9700364, 0.09990486])
('minibatch Accuracy (i, batch number)', 16, 750, [0.97025454, 0.09892335])
('minibatch Accuracy (i, batch number)', 16, 800, [0.9706182, 0.097875565])
('minibatch Accuracy (i, batch number)', 16, 850, [0.96994543, 0.09906086])
('Accuracy', 16, 'Test', array([0.95819998]), 'Train', array([0.97007275]))
('minibatch Accuracy (i, batch number)', 17, 50, [0.9705091, 0.097789206])
('minibatch Accuracy (i, batch number)', 17, 100, [0.9708727, 0.09691758])
('minibatch Accuracy (i, batch number)', 17, 150, [0.97074544, 0.09719295])
('minibatch Accuracy (i, batch number)', 17, 200, [0.97023636, 0.097343944])
('minibatch Accuracy (i, batch number)', 17, 250, [0.9702182, 0.09761812])
('minibatch Accuracy (i, batch number)', 17, 300, [0.97098184, 0.09666267])
('minibatch Accuracy (i, batch number)', 17, 350, [0.97081816, 0.09536047])
('minibatch Accuracy (i, batch number)', 17, 400, [0.9709455, 0.09433597])
('minibatch Accuracy (i, batch number)', 17, 450, [0.9709455, 0.09625407])
('minibatch Accuracy (i, batch number)', 17, 500, [0.9714364, 0.094701044])
('minibatch Accuracy (i, batch number)', 17, 550, [0.9716182, 0.09443109])
('minibatch Accuracy (i, batch number)', 17, 600, [0.97194546, 0.09399415])
('minibatch Accuracy (i, batch number)', 17, 650, [0.97172725, 0.09384732])
('minibatch Accuracy (i, batch number)', 17, 700, [0.97229093, 0.09230139])
('minibatch Accuracy (i, batch number)', 17, 750, [0.97187275, 0.092873245])
('minibatch Accuracy (i, batch number)', 17, 800, [0.9710182, 0.09483654])
('minibatch Accuracy (i, batch number)', 17, 850, [0.97205454, 0.09199747])
('Accuracy', 17, 'Test', array([0.95920002]), 'Train', array([0.97210908]))
('minibatch Accuracy (i, batch number)', 18, 50, [0.97229093, 0.09207983])
('minibatch Accuracy (i, batch number)', 18, 100, [0.97156364, 0.09252481])
('minibatch Accuracy (i, batch number)', 18, 150, [0.97243637, 0.09096361])
('minibatch Accuracy (i, batch number)', 18, 200, [0.9722546, 0.09166127])
('minibatch Accuracy (i, batch number)', 18, 250, [0.97254544, 0.09095966])
('minibatch Accuracy (i, batch number)', 18, 300, [0.9721818, 0.09112135])
('minibatch Accuracy (i, batch number)', 18, 350, [0.97236365, 0.090109825])
('minibatch Accuracy (i, batch number)', 18, 400, [0.97185457, 0.091935955])
('minibatch Accuracy (i, batch number)', 18, 450, [0.9727091, 0.08989203])
('minibatch Accuracy (i, batch number)', 18, 500, [0.9717636, 0.09189961])
('minibatch Accuracy (i, batch number)', 18, 550, [0.9718909, 0.09064226])
('minibatch Accuracy (i, batch number)', 18, 600, [0.97312725, 0.08770755])
('minibatch Accuracy (i, batch number)', 18, 650, [0.97312725, 0.08778734])
('minibatch Accuracy (i, batch number)', 18, 700, [0.9737273, 0.08721989])
('minibatch Accuracy (i, batch number)', 18, 750, [0.9739818, 0.08623974])
('minibatch Accuracy (i, batch number)', 18, 800, [0.97367275, 0.08684878])
